saq06,spei
1,0.12338943795610181
2,0.08957498536032897
3,0.027363920432529908
4,0.11096874921714697
5,0.1223702170726135
6,0.047309549805838194
7,0.10269784823553163
8,0.10376232215638852
9,0.1008174001618996
10,0.08688320175885417
11,0.12868006778809524
12,0.13029086995550596
13,0.18841764265217392
14,0.10984756240310627
15,0.16071936749351462
16,-0.050712958487958114
17,0.14099192437777777
18,0.11912141942916667
19,0.0905520941533101
20,0.18253780665234376
21,0.07144064216416667
22,0.18931927765277778
23,0.08914314447916666
24,0.21529910499375
25,0.10881488218489584
26,0.3560023104166667
27,0.04050146726944444
28,0.0309757682
29,-0.014704081340277779
31,0.07896477604166667
32,0.029773356645833346
34,-0.09336917812500001
35,0.254494561875
36,0.20392711368750002
37,0.17081878152083332
38,0.28389240813541666
39,0.2975305012708333
46,0.029773356645833346
49,0.34329325421874995
67,-0.057639617333333344
103,-0.09336917812500001
