ea_id,ea_latitude,ea_longitude,time,spei,saq06
10101088800910,14.25,37.75,2020-01-16,1.3280923,9
10101088800910,14.25,37.75,2020-02-15,-0.013711765,9
10101088800910,14.25,37.75,2020-03-16,-1.6161518,9
10101088800910,14.25,37.75,2020-04-16,-0.052895933,9
10101088800910,14.25,37.75,2020-05-16,0.1632403,9
10101088800910,14.25,37.75,2020-06-16,0.45570138,9
10101088800910,14.25,37.75,2020-07-16,0.38874558,9
10101088800910,14.25,37.75,2020-08-16,1.8346113,9
10101088800910,14.25,37.75,2020-09-16,0.3147881,9
10101088800910,14.25,37.75,2020-10-16,-1.0163457,9
10101088800910,14.25,37.75,2020-11-16,0.4579261,9
10101088800910,14.25,37.75,2020-12-16,-1.6271693,9
10101088800910,14.25,37.75,2021-01-16,-1.6982247,9
10101088800910,14.25,37.75,2021-02-15,-0.013711765,9
10101088800910,14.25,37.75,2021-03-16,-0.99590355,9
10101088800910,14.25,37.75,2021-04-16,2.4422293,9
10101088800910,14.25,37.75,2021-05-16,0.37719086,9
10101088800910,14.25,37.75,2021-06-16,0.3605076,9
10101088800910,14.25,37.75,2021-07-16,0.57051855,9
10101088800910,14.25,37.75,2021-08-16,0.12836559,9
10101088800910,14.25,37.75,2021-09-16,1.4111514,9
10101088800910,14.25,37.75,2021-10-16,-0.07015213,9
10101088800910,14.25,37.75,2021-11-16,1.6488013,9
10101088800910,14.25,37.75,2021-12-16,-0.7379603,9
10101088800910,14.25,37.75,2022-01-16,-0.13431282,9
10101088800910,14.25,37.75,2022-02-15,1.1529403,9
10101088800910,14.25,37.75,2022-03-16,-0.62807304,9
10101088800910,14.25,37.75,2022-04-16,-0.052895933,9
10101088800910,14.25,37.75,2022-05-16,-1.1833092,9
10101088800910,14.25,37.75,2022-06-16,1.069292,9
10101088800910,14.25,37.75,2022-07-16,0.17148037,9
10101088800910,14.25,37.75,2022-08-16,1.9275215,9
10101088800910,14.25,37.75,2022-09-16,-0.26108578,9
10101088800910,14.25,37.75,2022-10-16,1.1085713,9
10101088800910,14.25,37.75,2022-11-16,1.0334332,9
10101088800910,14.25,37.75,2022-12-16,-0.13586967,9
10101088800910,14.25,37.75,2023-01-16,0.13284962,9
10101088800910,14.25,37.75,2023-02-15,-0.8546898,9
10101088800910,14.25,37.75,2023-03-16,0.31379026,9
10101088800910,14.25,37.75,2023-04-16,-0.005192484,9
10101088800910,14.25,37.75,2023-05-16,-0.94790775,9
10101088800910,14.25,37.75,2023-06-16,0.44322056,9
10101088800910,14.25,37.75,2023-07-16,0.27229583,9
10101088800910,14.25,37.75,2023-08-16,-0.19623108,9
10101088800910,14.25,37.75,2023-09-16,-0.40137273,9
10101088800910,14.25,37.75,2023-10-16,-0.5606221,9
10101088800910,14.25,37.75,2023-11-16,-0.026569135,9
10101088800910,14.25,37.75,2023-12-16,-0.85091734,9
10102088801010,14.25,38.25,2020-01-16,1.1430866,10
10102088801010,14.25,38.25,2020-02-15,0.08370533,10
10102088801010,14.25,38.25,2020-03-16,-1.5208671,10
10102088801010,14.25,38.25,2020-04-16,0.029071616,10
10102088801010,14.25,38.25,2020-05-16,0.10525456,10
10102088801010,14.25,38.25,2020-06-16,0.4031407,10
