ea_id,ea_latitude,ea_longitude,time,spei,saq06
10102088801010,14.25,38.25,2023-11-16,-0.7486429,10
10102088801010,14.25,38.25,2023-12-16,-0.4681985,10
10103088800709,14.25,38.25,2020-01-16,0.81586885,7
10103088800709,14.25,38.25,2020-02-15,0.68623203,7
10103088800709,14.25,38.25,2020-03-16,-0.36850974,7
10103088800709,14.25,38.25,2020-04-16,-0.73275715,7
10103088800709,14.25,38.25,2020-05-16,-0.42275983,7
10103088800709,14.25,38.25,2020-06-16,0.18090773,7
10103088800709,14.25,38.25,2020-07-16,0.24875624,7
10103088800709,14.25,38.25,2020-08-16,1.1413276,7
10103088800709,14.25,38.25,2020-09-16,1.1866959,7
10103088800709,14.25,38.25,2020-10-16,1.5310336,7
10103088800709,14.25,38.25,2020-11-16,0.37087,7
10103088800709,14.25,38.25,2020-12-16,-0.2875037,7
10103088800709,14.25,38.25,2021-01-16,-0.32717904,7
10103088800709,14.25,38.25,2021-02-15,-1.2221724,7
10103088800709,14.25,38.25,2021-03-16,-0.58256656,7
10103088800709,14.25,38.25,2021-04-16,1.8756412,7
10103088800709,14.25,38.25,2021-05-16,1.4249264,7
10103088800709,14.25,38.25,2021-06-16,1.0943962,7
10103088800709,14.25,38.25,2021-07-16,0.4051749,7
10103088800709,14.25,38.25,2021-08-16,0.2191192,7
10103088800709,14.25,38.25,2021-09-16,0.61855584,7
10103088800709,14.25,38.25,2021-10-16,0.5842581,7
10103088800709,14.25,38.25,2021-11-16,1.8154535,7
10103088800709,14.25,38.25,2021-12-16,1.193235,7
10103088800709,14.25,38.25,2022-01-16,1.3740834,7
10103088800709,14.25,38.25,2022-02-15,0.28548786,7
10103088800709,14.25,38.25,2022-03-16,0.54806954,7
10103088800709,14.25,38.25,2022-04-16,0.49346372,7
10103088800709,14.25,38.25,2022-05-16,-1.1455792,7
10103088800709,14.25,38.25,2022-06-16,-0.112631746,7
10103088800709,14.25,38.25,2022-07-16,-0.11751215,7
10103088800709,14.25,38.25,2022-08-16,1.2270919,7
10103088800709,14.25,38.25,2022-09-16,1.0070642,7
10103088800709,14.25,38.25,2022-10-16,1.5690478,7
10103088800709,14.25,38.25,2022-11-16,0.46271852,7
10103088800709,14.25,38.25,2022-12-16,0.97573435,7
10103088800709,14.25,38.25,2023-01-16,0.7735581,7
10103088800709,14.25,38.25,2023-02-15,-0.7880394,7
10103088800709,14.25,38.25,2023-03-16,0.32130396,7
10103088800709,14.25,38.25,2023-04-16,0.103854604,7
10103088800709,14.25,38.25,2023-05-16,-0.27125087,7
10103088800709,14.25,38.25,2023-06-16,-0.0131554585,7
10103088800709,14.25,38.25,2023-07-16,0.045993388,7
10103088800709,14.25,38.25,2023-08-16,-0.0027729028,7
10103088800709,14.25,38.25,2023-09-16,-0.3550153,7
10103088800709,14.25,38.25,2023-10-16,-0.7059838,7
10103088800709,14.25,38.25,2023-11-16,-0.7486429,7
10103088800709,14.25,38.25,2023-12-16,-0.4681985,7
10104010100101,14.25,38.25,2020-01-16,0.81586885,1
10104010100101,14.25,38.25,2020-02-15,0.68623203,1
10104010100101,14.25,38.25,2020-03-16,-0.36850974,1
10104010100101,14.25,38.25,2020-04-16,-0.73275715,1
10104010100101,14.25,38.25,2020-05-16,-0.42275983,1
10104010100101,14.25,38.25,2020-06-16,0.18090773,1
10104010100101,14.25,38.25,2020-07-16,0.24875624,1
10104010100101,14.25,38.25,2020-08-16,1.1413276,1
10104010100101,14.25,38.25,2020-09-16,1.1866959,1
10104010100101,14.25,38.25,2020-10-16,1.5310336,1
10104010100101,14.25,38.25,2020-11-16,0.37087,1
10104010100101,14.25,38.25,2020-12-16,-0.2875037,1
10104010100101,14.25,38.25,2021-01-16,-0.32717904,1
10104010100101,14.25,38.25,2021-02-15,-1.2221724,1
10104010100101,14.25,38.25,2021-03-16,-0.58256656,1
10104010100101,14.25,38.25,2021-04-16,1.8756412,1
10104010100101,14.25,38.25,2021-05-16,1.4249264,1
10104010100101,14.25,38.25,2021-06-16,1.0943962,1
10104010100101,14.25,38.25,2021-07-16,0.4051749,1
10104010100101,14.25,38.25,2021-08-16,0.2191192,1
10104010100101,14.25,38.25,2021-09-16,0.61855584,1
10104010100101,14.25,38.25,2021-10-16,0.5842581,1
10104010100101,14.25,38.25,2021-11-16,1.8154535,1
10104010100101,14.25,38.25,2021-12-16,1.193235,1
10104010100101,14.25,38.25,2022-01-16,1.3740834,1
10104010100101,14.25,38.25,2022-02-15,0.28548786,1
10104010100101,14.25,38.25,2022-03-16,0.54806954,1
10104010100101,14.25,38.25,2022-04-16,0.49346372,1
10104010100101,14.25,38.25,2022-05-16,-1.1455792,1
10104010100101,14.25,38.25,2022-06-16,-0.112631746,1
10104010100101,14.25,38.25,2022-07-16,-0.11751215,1
10104010100101,14.25,38.25,2022-08-16,1.2270919,1
10104010100101,14.25,38.25,2022-09-16,1.0070642,1
10104010100101,14.25,38.25,2022-10-16,1.5690478,1
10104010100101,14.25,38.25,2022-11-16,0.46271852,1
10104010100101,14.25,38.25,2022-12-16,0.97573435,1
10104010100101,14.25,38.25,2023-01-16,0.7735581,1
10104010100101,14.25,38.25,2023-02-15,-0.7880394,1
10104010100101,14.25,38.25,2023-03-16,0.32130396,1
10104010100101,14.25,38.25,2023-04-16,0.103854604,1
10104010100101,14.25,38.25,2023-05-16,-0.27125087,1
10104010100101,14.25,38.25,2023-06-16,-0.0131554585,1
10104010100101,14.25,38.25,2023-07-16,0.045993388,1
10104010100101,14.25,38.25,2023-08-16,-0.0027729028,1
10104010100101,14.25,38.25,2023-09-16,-0.3550153,1
10104010100101,14.25,38.25,2023-10-16,-0.7059838,1
10104010100101,14.25,38.25,2023-11-16,-0.7486429,1
10104010100101,14.25,38.25,2023-12-16,-0.4681985,1
10104088800405,14.25,38.25,2020-01-16,0.81586885,4
10104088800405,14.25,38.25,2020-02-15,0.68623203,4
10104088800405,14.25,38.25,2020-03-16,-0.36850974,4
10104088800405,14.25,38.25,2020-04-16,-0.73275715,4
10104088800405,14.25,38.25,2020-05-16,-0.42275983,4
10104088800405,14.25,38.25,2020-06-16,0.18090773,4
10104088800405,14.25,38.25,2020-07-16,0.24875624,4
10104088800405,14.25,38.25,2020-08-16,1.1413276,4
10104088800405,14.25,38.25,2020-09-16,1.1866959,4
10104088800405,14.25,38.25,2020-10-16,1.5310336,4
10104088800405,14.25,38.25,2020-11-16,0.37087,4
10104088800405,14.25,38.25,2020-12-16,-0.2875037,4
10104088800405,14.25,38.25,2021-01-16,-0.32717904,4
10104088800405,14.25,38.25,2021-02-15,-1.2221724,4
10104088800405,14.25,38.25,2021-03-16,-0.58256656,4
10104088800405,14.25,38.25,2021-04-16,1.8756412,4
10104088800405,14.25,38.25,2021-05-16,1.4249264,4
10104088800405,14.25,38.25,2021-06-16,1.0943962,4
10104088800405,14.25,38.25,2021-07-16,0.4051749,4
10104088800405,14.25,38.25,2021-08-16,0.2191192,4
