saq06,year,month,spei
1,2020,1,1.1115735898863637
1,2020,2,0.39228521143977274
1,2020,3,0.090138217425
1,2020,4,0.021763178611363638
1,2020,5,0.32646988640340907
1,2020,6,0.40218162767943183
1,2020,7,0.3180020209659091
1,2020,8,0.6074109550454545
1,2020,9,0.8077753886363636
1,2020,10,0.9349479089318181
1,2020,11,0.6137578435568182
1,2020,12,0.32723657426136366
1,2021,1,-0.1690868442909091
1,2021,2,-0.22067264517045454
1,2021,3,0.1389867177272727
1,2021,4,0.7652215688977272
1,2021,5,0.6334498871590909
1,2021,6,0.2829367719659091
1,2021,7,0.2708977651477273
1,2021,8,0.054601652068181815
1,2021,9,0.4187305597329546
1,2021,10,0.23117436127272725
1,2021,11,0.2554250250340909
1,2021,12,-0.3159803426818182
1,2022,1,-0.4081711671704546
1,2022,2,-0.31112969186738637
1,2022,3,-0.19958733555681818
1,2022,4,-0.11758088258749999
1,2022,5,-0.7608594506818182
1,2022,6,-0.13447915781363637
1,2022,7,-0.38168696584659095
1,2022,8,0.344488643125
1,2022,9,-0.004387942995454553
1,2022,10,0.45235843477272725
1,2022,11,0.3244386750340909
1,2022,12,0.4244781211704545
1,2023,1,-0.03782335305
1,2023,2,-0.21293821504545454
1,2023,3,0.5490352112159091
1,2023,4,0.8681593582272726
1,2023,5,1.14027978475
1,2023,6,1.0804160721420455
1,2023,7,0.6794155469965909
1,2023,8,-0.2070471367647727
1,2023,9,-0.7473378797727274
1,2023,10,-0.7779913134090909
1,2023,11,-0.5919863964261364
1,2023,12,-0.23787346813636365
2,2020,1,1.1005994232142857
2,2020,2,0.46711270339285715
2,2020,3,0.13777605565714285
2,2020,4,0.07252139488035715
2,2020,5,0.25535662677035714
2,2020,6,0.3442994140892857
2,2020,7,0.23839692223214287
2,2020,8,0.5709810344214286
2,2020,9,0.7728150235714286
2,2020,10,0.9213258293571428
2,2020,11,0.5876769349464286
2,2020,12,0.3496865020428572
2,2021,1,-0.2959357802928571
2,2021,2,-0.26200144860714286
2,2021,3,-0.11506256075000003
2,2021,4,0.5370226561071428
2,2021,5,0.4692067401250001
2,2021,6,0.22577345450000003
2,2021,7,0.17702347208928573
2,2021,8,-0.011029449714285714
2,2021,9,0.3539427849821429
2,2021,10,0.28000756319642855
2,2021,11,0.29378585612499997
2,2021,12,-0.10987159625
2,2022,1,-0.31204312735714285
2,2022,2,-0.34772696491071425
2,2022,3,-0.12859514573214287
