time,lat,lon,spei
2022-01-16,0.25,32.25,0.81438833
2022-01-16,0.25,32.75,1.3896675
2022-01-16,0.25,33.25,1.7619774
2022-01-16,0.25,33.75,1.7273093
2022-01-16,0.25,34.25,1.6992383
2022-01-16,0.25,34.75,1.6600709
2022-01-16,0.25,35.25,1.5033656
2022-01-16,0.25,35.75,1.4317561
2022-01-16,0.25,36.25,1.36665
2022-01-16,0.25,36.75,1.1897504
2022-01-16,0.25,37.25,1.0248513
2022-01-16,0.25,37.75,0.62826455
2022-01-16,0.25,38.25,0.22667038
2022-01-16,0.25,38.75,-0.19431436
2022-01-16,0.25,39.25,-0.47252968
2022-01-16,0.25,39.75,-1.1146679
2022-01-16,0.25,40.25,-1.3395562
2022-01-16,0.25,40.75,-1.5047066
2022-01-16,0.25,41.25,-1.2933989
2022-01-16,0.25,41.75,-1.6519332
2022-01-16,0.25,42.25,-1.3262837
2022-01-16,0.25,42.75,-1.9731462
2022-01-16,0.25,43.25,-1.4935459
2022-01-16,0.25,43.75,
2022-01-16,0.25,44.25,
2022-01-16,0.25,44.75,
2022-01-16,0.25,45.25,
2022-01-16,0.25,45.75,
2022-01-16,0.25,46.25,
2022-01-16,0.25,46.75,
2022-01-16,0.25,47.25,
2022-01-16,0.25,47.75,
2022-01-16,0.75,32.25,0.90614754
2022-01-16,0.75,32.75,1.573999
2022-01-16,0.75,33.25,1.9358242
2022-01-16,0.75,33.75,1.9316599
2022-01-16,0.75,34.25,2.003925
2022-01-16,0.75,34.75,1.8407748
2022-01-16,0.75,35.25,1.7756214
2022-01-16,0.75,35.75,1.6460657
2022-01-16,0.75,36.25,1.521898
2022-01-16,0.75,36.75,1.2920405
2022-01-16,0.75,37.25,1.067559
2022-01-16,0.75,37.75,0.66953653
2022-01-16,0.75,38.25,0.4555276
2022-01-16,0.75,38.75,-0.019455405
2022-01-16,0.75,39.25,-0.30338338
2022-01-16,0.75,39.75,-0.68458945
2022-01-16,0.75,40.25,-1.3973645
2022-01-16,0.75,40.75,-1.4525883
2022-01-16,0.75,41.25,-1.8899872
2022-01-16,0.75,41.75,-1.5002695
2022-01-16,0.75,42.25,-1.1420492
2022-01-16,0.75,42.75,-1.1538464
2022-01-16,0.75,43.25,-1.4531105
