time,lat,lon,spei
2022-08-16,0.25,32.25,1.5075512
2022-08-16,0.25,32.75,1.8827649
2022-08-16,0.25,33.25,2.185485
2022-08-16,0.25,33.75,2.3223588
2022-08-16,0.25,34.25,2.55216
2022-08-16,0.25,34.75,3.1734796
2022-08-16,0.25,35.25,2.851778
2022-08-16,0.25,35.75,2.6271307
2022-08-16,0.25,36.25,2.4990466
2022-08-16,0.25,36.75,2.2044895
2022-08-16,0.25,37.25,1.6963314
2022-08-16,0.25,37.75,1.2677137
2022-08-16,0.25,38.25,0.64655423
2022-08-16,0.25,38.75,0.69589096
2022-08-16,0.25,39.25,0.7820725
2022-08-16,0.25,39.75,-0.005561945
2022-08-16,0.25,40.25,-0.66735363
2022-08-16,0.25,40.75,-0.75314873
2022-08-16,0.25,41.25,-1.0113479
2022-08-16,0.25,41.75,-0.75825655
2022-08-16,0.25,42.25,-0.6469128
2022-08-16,0.25,42.75,-0.061071873
2022-08-16,0.25,43.25,0.0076544033
2022-08-16,0.25,43.75,
2022-08-16,0.25,44.25,
2022-08-16,0.25,44.75,
2022-08-16,0.25,45.25,
2022-08-16,0.25,45.75,
2022-08-16,0.25,46.25,
2022-08-16,0.25,46.75,
2022-08-16,0.25,47.25,
2022-08-16,0.25,47.75,
2022-08-16,0.75,32.25,1.3114256
2022-08-16,0.75,32.75,2.1099794
2022-08-16,0.75,33.25,2.3520021
2022-08-16,0.75,33.75,2.6703134
2022-08-16,0.75,34.25,2.8296103
2022-08-16,0.75,34.75,2.7896092
2022-08-16,0.75,35.25,2.7631323
2022-08-16,0.75,35.75,2.9050183
2022-08-16,0.75,36.25,2.7371695
2022-08-16,0.75,36.75,2.507894
2022-08-16,0.75,37.25,1.6347634
2022-08-16,0.75,37.75,1.0691525
2022-08-16,0.75,38.25,1.1965451
2022-08-16,0.75,38.75,1.2053537
2022-08-16,0.75,39.25,0.61145514
2022-08-16,0.75,39.75,0.6742803
2022-08-16,0.75,40.25,-0.10215153
2022-08-16,0.75,40.75,-0.123655036
2022-08-16,0.75,41.25,-0.36447948
2022-08-16,0.75,41.75,-0.6116707
2022-08-16,0.75,42.25,-0.6766821
2022-08-16,0.75,42.75,-0.47942418
2022-08-16,0.75,43.25,-0.04386884
2022-08-16,0.75,43.75,-0.008063709
2022-08-16,0.75,44.25,
2022-08-16,0.75,44.75,
2022-08-16,0.75,45.25,
2022-08-16,0.75,45.75,
2022-08-16,0.75,46.25,
2022-08-16,0.75,46.75,
2022-08-16,0.75,47.25,
2022-08-16,0.75,47.75,
2022-08-16,1.25,32.25,1.1409315
2022-08-16,1.25,32.75,2.0590334
2022-08-16,1.25,33.25,2.4991307
2022-08-16,1.25,33.75,2.664273
2022-08-16,1.25,34.25,2.6693964
2022-08-16,1.25,34.75,2.8856559
2022-08-16,1.25,35.25,2.7887356
2022-08-16,1.25,35.75,2.8669086
2022-08-16,1.25,36.25,2.5589147
2022-08-16,1.25,36.75,2.4469323
2022-08-16,1.25,37.25,2.26055
2022-08-16,1.25,37.75,1.2253882
2022-08-16,1.25,38.25,1.1241802
2022-08-16,1.25,38.75,0.4057959
2022-08-16,1.25,39.25,0.7204422
2022-08-16,1.25,39.75,0.55158186
2022-08-16,1.25,40.25,0.61070114
2022-08-16,1.25,40.75,0.030323735
2022-08-16,1.25,41.25,0.044441324
2022-08-16,1.25,41.75,-0.38321316
2022-08-16,1.25,42.25,-0.66513366
2022-08-16,1.25,42.75,-1.0078048
2022-08-16,1.25,43.25,-0.5043338
2022-08-16,1.25,43.75,-0.05875203
2022-08-16,1.25,44.25,0.05407369
2022-08-16,1.25,44.75,
2022-08-16,1.25,45.25,
2022-08-16,1.25,45.75,
2022-08-16,1.25,46.25,
2022-08-16,1.25,46.75,
2022-08-16,1.25,47.25,
2022-08-16,1.25,47.75,
2022-08-16,1.75,32.25,1.3727509
2022-08-16,1.75,32.75,2.2276847
2022-08-16,1.75,33.25,2.595403
2022-08-16,1.75,33.75,2.6531067
2022-08-16,1.75,34.25,2.666561
2022-08-16,1.75,34.75,2.5807438
2022-08-16,1.75,35.25,2.5956712
2022-08-16,1.75,35.75,2.7443526
2022-08-16,1.75,36.25,2.5384407
2022-08-16,1.75,36.75,2.4376318
2022-08-16,1.75,37.25,2.1390748
2022-08-16,1.75,37.75,1.4795002
2022-08-16,1.75,38.25,1.4228858
2022-08-16,1.75,38.75,0.94552
2022-08-16,1.75,39.25,0.3955496
2022-08-16,1.75,39.75,0.53940547
2022-08-16,1.75,40.25,0.4291921
2022-08-16,1.75,40.75,0.44437274
2022-08-16,1.75,41.25,-0.09067972
2022-08-16,1.75,41.75,-0.27612078
2022-08-16,1.75,42.25,-1.0377604
2022-08-16,1.75,42.75,-0.7115419
2022-08-16,1.75,43.25,-0.8317623
2022-08-16,1.75,43.75,-0.43293023
2022-08-16,1.75,44.25,-0.062036943
2022-08-16,1.75,44.75,0.06681454
2022-08-16,1.75,45.25,0.066655524
2022-08-16,1.75,45.75,
2022-08-16,1.75,46.25,
2022-08-16,1.75,46.75,
2022-08-16,1.75,47.25,
2022-08-16,1.75,47.75,
2022-08-16,2.25,32.25,1.6886811
2022-08-16,2.25,32.75,2.2358584
2022-08-16,2.25,33.25,2.620973
2022-08-16,2.25,33.75,2.697205
2022-08-16,2.25,34.25,2.6560519
2022-08-16,2.25,34.75,2.6471717
2022-08-16,2.25,35.25,2.3188448
2022-08-16,2.25,35.75,2.2502103
2022-08-16,2.25,36.25,2.2742405
2022-08-16,2.25,36.75,2.2710166
2022-08-16,2.25,37.25,2.1088233
2022-08-16,2.25,37.75,1.9963673
2022-08-16,2.25,38.25,1.3355619
2022-08-16,2.25,38.75,1.3702414
2022-08-16,2.25,39.25,0.8627154
2022-08-16,2.25,39.75,-0.31450346
2022-08-16,2.25,40.25,0.47618687
2022-08-16,2.25,40.75,0.006311902
2022-08-16,2.25,41.25,-0.031183876
2022-08-16,2.25,41.75,-0.47143924
2022-08-16,2.25,42.25,0.09355398
2022-08-16,2.25,42.75,-0.07408344
2022-08-16,2.25,43.25,-1.3566988
2022-08-16,2.25,43.75,-0.8494504
2022-08-16,2.25,44.25,-0.62930757
2022-08-16,2.25,44.75,-0.13671058
2022-08-16,2.25,45.25,0.059946183
2022-08-16,2.25,45.75,0.1924678
2022-08-16,2.25,46.25,
2022-08-16,2.25,46.75,
2022-08-16,2.25,47.25,
2022-08-16,2.25,47.75,
2022-08-16,2.75,32.25,1.3447545
2022-08-16,2.75,32.75,2.4006352
2022-08-16,2.75,33.25,2.6516893
2022-08-16,2.75,33.75,2.7084258
2022-08-16,2.75,34.25,2.5799925
2022-08-16,2.75,34.75,1.557781
2022-08-16,2.75,35.25,2.2431922
2022-08-16,2.75,35.75,2.2429583
2022-08-16,2.75,36.25,2.2069776
2022-08-16,2.75,36.75,2.2022994
2022-08-16,2.75,37.25,2.0058615
2022-08-16,2.75,37.75,2.0306764
2022-08-16,2.75,38.25,1.9051958
2022-08-16,2.75,38.75,2.0980246
2022-08-16,2.75,39.25,1.2398452
2022-08-16,2.75,39.75,0.88252133
2022-08-16,2.75,40.25,0.42570248
2022-08-16,2.75,40.75,-0.0610373
2022-08-16,2.75,41.25,0.057156857
2022-08-16,2.75,41.75,0.00030795456
2022-08-16,2.75,42.25,-0.03645514
2022-08-16,2.75,42.75,0.15361391
2022-08-16,2.75,43.25,-1.8922762
2022-08-16,2.75,43.75,-1.0114279
2022-08-16,2.75,44.25,-0.78079695
2022-08-16,2.75,44.75,-0.23119392
2022-08-16,2.75,45.25,-0.104589805
2022-08-16,2.75,45.75,0.26259866
2022-08-16,2.75,46.25,0.19799872
2022-08-16,2.75,46.75,
2022-08-16,2.75,47.25,
2022-08-16,2.75,47.75,
2022-08-16,3.25,32.25,1.5578198
2022-08-16,3.25,32.75,2.4188907
2022-08-16,3.25,33.25,2.716834
2022-08-16,3.25,33.75,2.814142
2022-08-16,3.25,34.25,1.5062935
2022-08-16,3.25,34.75,2.4575553
2022-08-16,3.25,35.25,2.1684802
2022-08-16,3.25,35.75,2.1570835
2022-08-16,3.25,36.25,2.076729
2022-08-16,3.25,36.75,2.093211
2022-08-16,3.25,37.25,1.9387611
2022-08-16,3.25,37.75,2.2657082
2022-08-16,3.25,38.25,2.3843222
2022-08-16,3.25,38.75,2.2110033
2022-08-16,3.25,39.25,1.8080825
2022-08-16,3.25,39.75,1.0789449
2022-08-16,3.25,40.25,0.1134963
2022-08-16,3.25,40.75,-0.40645948
2022-08-16,3.25,41.25,-0.2711411
2022-08-16,3.25,41.75,-0.65587896
2022-08-16,3.25,42.25,-1.1236176
2022-08-16,3.25,42.75,-0.31017363
2022-08-16,3.25,43.25,-1.1800004
2022-08-16,3.25,43.75,-1.1596411
2022-08-16,3.25,44.25,-0.84601057
2022-08-16,3.25,44.75,-0.31163302
2022-08-16,3.25,45.25,0.16681112
2022-08-16,3.25,45.75,0.31167138
2022-08-16,3.25,46.25,0.31707063
2022-08-16,3.25,46.75,0.2166147
2022-08-16,3.25,47.25,
2022-08-16,3.25,47.75,
2022-08-16,3.75,32.25,2.3890004
2022-08-16,3.75,32.75,2.4503174
2022-08-16,3.75,33.25,2.7654746
2022-08-16,3.75,33.75,2.8532717
2022-08-16,3.75,34.25,2.6143909
2022-08-16,3.75,34.75,0.47767967
2022-08-16,3.75,35.25,0.5746779
2022-08-16,3.75,35.75,0.19287826
