time,lat,lon,spei
2021-04-16,0.25,32.25,-0.33911383
2021-04-16,0.25,32.75,-0.46567595
2021-04-16,0.25,33.25,-0.5379517
2021-04-16,0.25,33.75,-0.5695553
2021-04-16,0.25,34.25,-0.67295027
2021-04-16,0.25,34.75,-0.6301702
2021-04-16,0.25,35.25,-0.5911957
2021-04-16,0.25,35.75,-0.5613167
2021-04-16,0.25,36.25,-0.42147976
2021-04-16,0.25,36.75,-0.066664055
2021-04-16,0.25,37.25,0.3846423
2021-04-16,0.25,37.75,0.9005323
2021-04-16,0.25,38.25,1.3965976
2021-04-16,0.25,38.75,1.7585701
2021-04-16,0.25,39.25,1.7848389
2021-04-16,0.25,39.75,2.0092368
2021-04-16,0.25,40.25,2.1614451
2021-04-16,0.25,40.75,2.251933
2021-04-16,0.25,41.25,1.8673171
2021-04-16,0.25,41.75,1.6636804
2021-04-16,0.25,42.25,1.3485328
2021-04-16,0.25,42.75,0.8412415
2021-04-16,0.25,43.25,0.39222047
2021-04-16,0.25,43.75,
2021-04-16,0.25,44.25,
2021-04-16,0.25,44.75,
2021-04-16,0.25,45.25,
2021-04-16,0.25,45.75,
2021-04-16,0.25,46.25,
2021-04-16,0.25,46.75,
2021-04-16,0.25,47.25,
2021-04-16,0.25,47.75,
2021-04-16,0.75,32.25,-0.48763734
2021-04-16,0.75,32.75,-0.7151365
2021-04-16,0.75,33.25,-0.91205287
2021-04-16,0.75,33.75,-0.86026585
2021-04-16,0.75,34.25,-1.0217501
2021-04-16,0.75,34.75,-0.83229905
2021-04-16,0.75,35.25,-0.75532115
2021-04-16,0.75,35.75,-0.62894696
2021-04-16,0.75,36.25,-0.59108645
2021-04-16,0.75,36.75,-0.22891416
2021-04-16,0.75,37.25,0.09550068
2021-04-16,0.75,37.75,0.48768243
2021-04-16,0.75,38.25,1.0091228
2021-04-16,0.75,38.75,1.5267467
2021-04-16,0.75,39.25,1.8406396
2021-04-16,0.75,39.75,1.9671167
2021-04-16,0.75,40.25,2.0096955
2021-04-16,0.75,40.75,1.8972573
2021-04-16,0.75,41.25,1.7038794
2021-04-16,0.75,41.75,1.3978138
2021-04-16,0.75,42.25,0.91012436
2021-04-16,0.75,42.75,0.5269429
2021-04-16,0.75,43.25,0.3458071
2021-04-16,0.75,43.75,0.23245566
2021-04-16,0.75,44.25,
2021-04-16,0.75,44.75,
2021-04-16,0.75,45.25,
2021-04-16,0.75,45.75,
2021-04-16,0.75,46.25,
2021-04-16,0.75,46.75,
2021-04-16,0.75,47.25,
2021-04-16,0.75,47.75,
2021-04-16,1.25,32.25,-0.46165648
2021-04-16,1.25,32.75,-0.95803934
2021-04-16,1.25,33.25,-1.2506063
2021-04-16,1.25,33.75,-1.1385067
2021-04-16,1.25,34.25,-1.1557262
2021-04-16,1.25,34.75,-1.0450774
2021-04-16,1.25,35.25,-0.93470913
2021-04-16,1.25,35.75,-0.7694486
2021-04-16,1.25,36.25,-0.7902068
2021-04-16,1.25,36.75,-0.47035834
2021-04-16,1.25,37.25,-0.10540191
2021-04-16,1.25,37.75,0.23782389
2021-04-16,1.25,38.25,0.6276879
2021-04-16,1.25,38.75,1.18649
2021-04-16,1.25,39.25,1.535598
2021-04-16,1.25,39.75,1.690022
2021-04-16,1.25,40.25,-0.07610553
2021-04-16,1.25,40.75,1.4516014
2021-04-16,1.25,41.25,1.2601237
2021-04-16,1.25,41.75,0.93329436
2021-04-16,1.25,42.25,0.9265026
2021-04-16,1.25,42.75,0.5142851
2021-04-16,1.25,43.25,0.2688567
2021-04-16,1.25,43.75,0.35096368
2021-04-16,1.25,44.25,0.35232392
2021-04-16,1.25,44.75,
2021-04-16,1.25,45.25,
2021-04-16,1.25,45.75,
2021-04-16,1.25,46.25,
2021-04-16,1.25,46.75,
2021-04-16,1.25,47.25,
2021-04-16,1.25,47.75,
2021-04-16,1.75,32.25,-0.6107326
2021-04-16,1.75,32.75,-1.0482428
2021-04-16,1.75,33.25,-1.3104131
2021-04-16,1.75,33.75,-1.3303291
2021-04-16,1.75,34.25,-1.389093
2021-04-16,1.75,34.75,-1.301671
2021-04-16,1.75,35.25,-1.1796935
2021-04-16,1.75,35.75,-1.0370414
2021-04-16,1.75,36.25,-0.98344266
2021-04-16,1.75,36.75,-0.74836075
2021-04-16,1.75,37.25,-0.3582095
2021-04-16,1.75,37.75,-0.026388831
2021-04-16,1.75,38.25,0.32282802
2021-04-16,1.75,38.75,0.6181999
2021-04-16,1.75,39.25,1.2919631
2021-04-16,1.75,39.75,1.278774
2021-04-16,1.75,40.25,1.0995915
2021-04-16,1.75,40.75,0.9761216
2021-04-16,1.75,41.25,1.0098531
2021-04-16,1.75,41.75,0.8619984
2021-04-16,1.75,42.25,0.5767986
2021-04-16,1.75,42.75,0.18612508
2021-04-16,1.75,43.25,0.2790651
2021-04-16,1.75,43.75,0.2635699
2021-04-16,1.75,44.25,0.28624114
2021-04-16,1.75,44.75,0.26830918
2021-04-16,1.75,45.25,0.2691208
2021-04-16,1.75,45.75,
2021-04-16,1.75,46.25,
2021-04-16,1.75,46.75,
2021-04-16,1.75,47.25,
2021-04-16,1.75,47.75,
2021-04-16,2.25,32.25,-0.6133201
2021-04-16,2.25,32.75,-0.9845359
2021-04-16,2.25,33.25,-1.2439607
2021-04-16,2.25,33.75,-1.3391044
2021-04-16,2.25,34.25,-1.5949912
2021-04-16,2.25,34.75,-1.1543375
2021-04-16,2.25,35.25,-1.1610521
2021-04-16,2.25,35.75,-0.9074065
2021-04-16,2.25,36.25,-1.0461423
2021-04-16,2.25,36.75,-0.92678475
2021-04-16,2.25,37.25,-0.7685988
2021-04-16,2.25,37.75,-0.40179354
2021-04-16,2.25,38.25,0.16649492
2021-04-16,2.25,38.75,0.50088036
2021-04-16,2.25,39.25,0.81249523
2021-04-16,2.25,39.75,1.128155
2021-04-16,2.25,40.25,0.7265282
2021-04-16,2.25,40.75,0.68163157
2021-04-16,2.25,41.25,0.5532401
2021-04-16,2.25,41.75,0.4406287
2021-04-16,2.25,42.25,0.33874783
2021-04-16,2.25,42.75,0.24392855
2021-04-16,2.25,43.25,0.2341747
2021-04-16,2.25,43.75,0.2867061
2021-04-16,2.25,44.25,0.25776646
2021-04-16,2.25,44.75,0.29737765
2021-04-16,2.25,45.25,0.2667346
2021-04-16,2.25,45.75,0.31411552
2021-04-16,2.25,46.25,
2021-04-16,2.25,46.75,
2021-04-16,2.25,47.25,
2021-04-16,2.25,47.75,
2021-04-16,2.75,32.25,-0.5331843
2021-04-16,2.75,32.75,-0.87832063
2021-04-16,2.75,33.25,-1.3392587
2021-04-16,2.75,33.75,-1.4699712
2021-04-16,2.75,34.25,-1.1663171
2021-04-16,2.75,34.75,-0.783557
2021-04-16,2.75,35.25,-0.98597854
2021-04-16,2.75,35.75,-1.1094949
2021-04-16,2.75,36.25,-1.056559
2021-04-16,2.75,36.75,-1.0934854
2021-04-16,2.75,37.25,-0.88494873
2021-04-16,2.75,37.75,-0.83251303
2021-04-16,2.75,38.25,-0.6684851
2021-04-16,2.75,38.75,-0.3244649
2021-04-16,2.75,39.25,0.06943479
2021-04-16,2.75,39.75,0.20826343
2021-04-16,2.75,40.25,0.20386653
2021-04-16,2.75,40.75,0.09434689
2021-04-16,2.75,41.25,0.022967309
2021-04-16,2.75,41.75,-0.021176573
2021-04-16,2.75,42.25,0.195464
2021-04-16,2.75,42.75,0.37203684
2021-04-16,2.75,43.25,0.183902
2021-04-16,2.75,43.75,0.22693323
2021-04-16,2.75,44.25,0.2644806
2021-04-16,2.75,44.75,0.33273494
2021-04-16,2.75,45.25,0.3434099
2021-04-16,2.75,45.75,0.25320268
2021-04-16,2.75,46.25,0.2911025
2021-04-16,2.75,46.75,
2021-04-16,2.75,47.25,
2021-04-16,2.75,47.75,
2021-04-16,3.25,32.25,-0.3478447
2021-04-16,3.25,32.75,-0.872182
2021-04-16,3.25,33.25,-1.411664
2021-04-16,3.25,33.75,-2.0256774
2021-04-16,3.25,34.25,-0.81607866
2021-04-16,3.25,34.75,-0.768158
2021-04-16,3.25,35.25,-0.870103
2021-04-16,3.25,35.75,-0.9512806
2021-04-16,3.25,36.25,-0.8111977
2021-04-16,3.25,36.75,-0.9571754
2021-04-16,3.25,37.25,-0.79584426
2021-04-16,3.25,37.75,-0.9685064
2021-04-16,3.25,38.25,-1.0715917
2021-04-16,3.25,38.75,-0.8966235
2021-04-16,3.25,39.25,-0.53834623
2021-04-16,3.25,39.75,-0.41294637
2021-04-16,3.25,40.25,-0.3883088
2021-04-16,3.25,40.75,-0.3018077
2021-04-16,3.25,41.25,-0.27680352
2021-04-16,3.25,41.75,-0.13525674
2021-04-16,3.25,42.25,0.061484933
2021-04-16,3.25,42.75,0.3494415
2021-04-16,3.25,43.25,0.24266313
2021-04-16,3.25,43.75,0.2090034
2021-04-16,3.25,44.25,0.2450708
2021-04-16,3.25,44.75,0.3493341
2021-04-16,3.25,45.25,0.35347754
2021-04-16,3.25,45.75,0.30163443
2021-04-16,3.25,46.25,0.3184539
2021-04-16,3.25,46.75,0.38966644
2021-04-16,3.25,47.25,
2021-04-16,3.25,47.75,
2021-04-16,3.75,32.25,-0.36846247
2021-04-16,3.75,32.75,-0.70757854
2021-04-16,3.75,33.25,-1.3836396
2021-04-16,3.75,33.75,-2.019138
2021-04-16,3.75,34.25,-1.25615
2021-04-16,3.75,34.75,-0.41070405
2021-04-16,3.75,35.25,-0.07648265
2021-04-16,3.75,35.75,-0.05544227
2021-04-16,3.75,36.25,-0.18271351
2021-04-16,3.75,36.75,-0.67075163
2021-04-16,3.75,37.25,0.28099608
2021-04-16,3.75,37.75,-1.0150462
2021-04-16,3.75,38.25,-1.0152276
2021-04-16,3.75,38.75,-0.9440096
2021-04-16,3.75,39.25,-0.6830372
2021-04-16,3.75,39.75,-0.49395204
2021-04-16,3.75,40.25,-0.39369795
2021-04-16,3.75,40.75,-0.3880847
2021-04-16,3.75,41.25,-0.25964567
2021-04-16,3.75,41.75,-0.12795924
2021-04-16,3.75,42.25,0.048845187
2021-04-16,3.75,42.75,0.2609455
2021-04-16,3.75,43.25,0.26416826
2021-04-16,3.75,43.75,0.27627733
2021-04-16,3.75,44.25,0.24373944
2021-04-16,3.75,44.75,0.33741492
2021-04-16,3.75,45.25,0.43389457
2021-04-16,3.75,45.75,0.40728506
2021-04-16,3.75,46.25,0.44789124
2021-04-16,3.75,46.75,0.65486085
2021-04-16,3.75,47.25,0.75057054
2021-04-16,3.75,47.75,
2021-04-16,4.25,32.25,-0.41617885
2021-04-16,4.25,32.75,-0.77099717
2021-04-16,4.25,33.25,-1.0967304
2021-04-16,4.25,33.75,-1.5027223
2021-04-16,4.25,34.25,-1.3542219
2021-04-16,4.25,34.75,-0.12993717
2021-04-16,4.25,35.25,-0.19530484
2021-04-16,4.25,35.75,0.071590275
2021-04-16,4.25,36.25,-0.2448398
2021-04-16,4.25,36.75,-0.10409714
2021-04-16,4.25,37.25,-0.62423587
2021-04-16,4.25,37.75,-0.46270594
2021-04-16,4.25,38.25,-1.0470625
2021-04-16,4.25,38.75,-0.9598003
2021-04-16,4.25,39.25,0.21803947
2021-04-16,4.25,39.75,-0.5415751
2021-04-16,4.25,40.25,-0.41720888
2021-04-16,4.25,40.75,0.19281867
2021-04-16,4.25,41.25,-0.3181684
2021-04-16,4.25,41.75,-0.15045595
2021-04-16,4.25,42.25,-0.1054457
2021-04-16,4.25,42.75,0.28880885
2021-04-16,4.25,43.25,0.21346903
2021-04-16,4.25,43.75,0.27787483
2021-04-16,4.25,44.25,0.30112985
2021-04-16,4.25,44.75,0.3468447
2021-04-16,4.25,45.25,0.3720786
2021-04-16,4.25,45.75,0.5751426
2021-04-16,4.25,46.25,0.68294424
2021-04-16,4.25,46.75,0.7281071
2021-04-16,4.25,47.25,0.92000186
2021-04-16,4.25,47.75,1.1551961
2021-04-16,4.75,32.25,-0.3239157
2021-04-16,4.75,32.75,-0.45103988
2021-04-16,4.75,33.25,-0.87729764
2021-04-16,4.75,33.75,-1.242254
2021-04-16,4.75,34.25,-1.102798
2021-04-16,4.75,34.75,0.2167396
