time,lat,lon,spei
2023-02-15,0.25,32.25,-0.11261768
2023-02-15,0.25,32.75,-0.111058906
2023-02-15,0.25,33.25,-0.01643083
2023-02-15,0.25,33.75,-0.09331966
2023-02-15,0.25,34.25,-0.4479827
2023-02-15,0.25,34.75,-0.5320407
2023-02-15,0.25,35.25,-0.4556765
2023-02-15,0.25,35.75,-0.2275838
2023-02-15,0.25,36.25,-0.20259647
2023-02-15,0.25,36.75,-0.3073709
2023-02-15,0.25,37.25,-0.005890021
2023-02-15,0.25,37.75,-0.058263693
2023-02-15,0.25,38.25,0.1446173
2023-02-15,0.25,38.75,0.12444339
2023-02-15,0.25,39.25,0.26612034
2023-02-15,0.25,39.75,0.46727383
2023-02-15,0.25,40.25,0.57145345
2023-02-15,0.25,40.75,0.58095187
2023-02-15,0.25,41.25,0.71004087
2023-02-15,0.25,41.75,0.64851844
2023-02-15,0.25,42.25,-1.2067606
2023-02-15,0.25,42.75,-1.163041
2023-02-15,0.25,43.25,-1.535035
2023-02-15,0.25,43.75,
2023-02-15,0.25,44.25,
2023-02-15,0.25,44.75,
2023-02-15,0.25,45.25,
2023-02-15,0.25,45.75,
2023-02-15,0.25,46.25,
2023-02-15,0.25,46.75,
2023-02-15,0.25,47.25,
2023-02-15,0.25,47.75,
2023-02-15,0.75,32.25,0.033574514
2023-02-15,0.75,32.75,0.044743
2023-02-15,0.75,33.25,-0.21832438
2023-02-15,0.75,33.75,-0.15434384
2023-02-15,0.75,34.25,-0.25183487
2023-02-15,0.75,34.75,-0.29730076
2023-02-15,0.75,35.25,-0.24705037
2023-02-15,0.75,35.75,-0.21245162
2023-02-15,0.75,36.25,-0.2682908
2023-02-15,0.75,36.75,-0.17716636
2023-02-15,0.75,37.25,-0.14789416
2023-02-15,0.75,37.75,-0.13310847
2023-02-15,0.75,38.25,0.027383957
2023-02-15,0.75,38.75,0.020570252
2023-02-15,0.75,39.25,0.09376566
2023-02-15,0.75,39.75,0.44294226
2023-02-15,0.75,40.25,0.5817504
2023-02-15,0.75,40.75,0.69853824
2023-02-15,0.75,41.25,0.8474406
2023-02-15,0.75,41.75,0.60955584
2023-02-15,0.75,42.25,-0.5498819
2023-02-15,0.75,42.75,-1.1005064
2023-02-15,0.75,43.25,-0.9971779
2023-02-15,0.75,43.75,-1.0918666
2023-02-15,0.75,44.25,
2023-02-15,0.75,44.75,
2023-02-15,0.75,45.25,
2023-02-15,0.75,45.75,
2023-02-15,0.75,46.25,
2023-02-15,0.75,46.75,
2023-02-15,0.75,47.25,
2023-02-15,0.75,47.75,
2023-02-15,1.25,32.25,-0.047887933
2023-02-15,1.25,32.75,-0.35016993
2023-02-15,1.25,33.25,-0.2217806
2023-02-15,1.25,33.75,-0.09511315
2023-02-15,1.25,34.25,-0.2748235
2023-02-15,1.25,34.75,-0.25121227
2023-02-15,1.25,35.25,-0.16991055
2023-02-15,1.25,35.75,-0.60771555
2023-02-15,1.25,36.25,-0.15287074
2023-02-15,1.25,36.75,0.049756132
2023-02-15,1.25,37.25,0.090330765
2023-02-15,1.25,37.75,0.0063443873
2023-02-15,1.25,38.25,0.08114677
2023-02-15,1.25,38.75,-0.027676243
2023-02-15,1.25,39.25,0.2629487
2023-02-15,1.25,39.75,0.45534238
2023-02-15,1.25,40.25,0.516496
2023-02-15,1.25,40.75,0.8708759
2023-02-15,1.25,41.25,0.7250876
2023-02-15,1.25,41.75,-0.036860213
2023-02-15,1.25,42.25,0.43651316
2023-02-15,1.25,42.75,0.17979011
2023-02-15,1.25,43.25,0.061820995
2023-02-15,1.25,43.75,-0.34123778
2023-02-15,1.25,44.25,-0.47827846
2023-02-15,1.25,44.75,
2023-02-15,1.25,45.25,
2023-02-15,1.25,45.75,
2023-02-15,1.25,46.25,
2023-02-15,1.25,46.75,
2023-02-15,1.25,47.25,
2023-02-15,1.25,47.75,
2023-02-15,1.75,32.25,-0.4308671
2023-02-15,1.75,32.75,-0.22308606
2023-02-15,1.75,33.25,-0.29348373
2023-02-15,1.75,33.75,-0.40447214
2023-02-15,1.75,34.25,-0.50146294
2023-02-15,1.75,34.75,0.29284632
2023-02-15,1.75,35.25,0.3296744
2023-02-15,1.75,35.75,-0.14974174
2023-02-15,1.75,36.25,-0.13921842
2023-02-15,1.75,36.75,-0.05070586
2023-02-15,1.75,37.25,0.06118648
2023-02-15,1.75,37.75,-0.02089615
2023-02-15,1.75,38.25,-0.025960805
2023-02-15,1.75,38.75,-0.07236718
2023-02-15,1.75,39.25,0.15358737
2023-02-15,1.75,39.75,0.29856867
2023-02-15,1.75,40.25,0.70466185
2023-02-15,1.75,40.75,0.65158826
2023-02-15,1.75,41.25,0.85976493
2023-02-15,1.75,41.75,0.7014537
2023-02-15,1.75,42.25,1.118615
2023-02-15,1.75,42.75,1.4055918
2023-02-15,1.75,43.25,0.9955559
2023-02-15,1.75,43.75,0.64612824
2023-02-15,1.75,44.25,0.3948749
2023-02-15,1.75,44.75,-0.5929453
2023-02-15,1.75,45.25,-0.28020173
2023-02-15,1.75,45.75,
2023-02-15,1.75,46.25,
2023-02-15,1.75,46.75,
2023-02-15,1.75,47.25,
2023-02-15,1.75,47.75,
2023-02-15,2.25,32.25,-0.5548738
2023-02-15,2.25,32.75,-0.49615866
2023-02-15,2.25,33.25,-0.310156
2023-02-15,2.25,33.75,-0.4713209
2023-02-15,2.25,34.25,-0.6241133
2023-02-15,2.25,34.75,-0.35582104
2023-02-15,2.25,35.25,-0.168639
2023-02-15,2.25,35.75,-0.16730496
2023-02-15,2.25,36.25,-0.08825059
2023-02-15,2.25,36.75,-0.15514383
2023-02-15,2.25,37.25,-0.106152594
2023-02-15,2.25,37.75,0.053102124
2023-02-15,2.25,38.25,-0.030337105
2023-02-15,2.25,38.75,0.03823113
2023-02-15,2.25,39.25,0.34952992
2023-02-15,2.25,39.75,0.75845677
2023-02-15,2.25,40.25,0.7770573
